Date,SP500
729524,836.04
729525,841.88
729526,829.75
729529,833.27
729530,841.66
729531,839.35
729532,835.66
729533,847.03
729536,848.37
729537,849.71
729538,847.21
729539,844.08
729540,848.28
729543,846.36
729544,845.48
729545,840.11
729546,843.43
729547,858.01
729550,862.91
729551,865.27
729552,869.57
729553,883.46
729554,893.27
729557,893.9
729558,894.42
729559,889.06
729560,897.99
729561,898.7
729564,878.62
729565,896.34
729566,888.99
729567,883.68
729568,887.3
729571,885.14
729572,891.03
729573,904.03
729574,916.92
729575,914.56
729578,912.2
729579,918.75
729580,907.54
729581,913.78
729582,916.68
729585,918.38
729586,925.76
729587,936.59
729588,931.61
729589,915.3
729592,912.94
729593,933.98
729594,936.56
729595,940.3
729596,938.79
729599,936.45
729600,942.29
729601,952.29
729602,954.31
729603,947.14
729606,950.3
729607,952.37
729608,960.32
729609,951.19
729610,933.54
729613,937
729614,926.53
729615,922.02
729616,924.77
729617,900.81
729620,912.49
729621,926.01
729622,939.35
729623,925.05
729624,923.54
729627,920.16
729628,913.02
729629,913.7
729630,903.67
729631,899.47
729634,913.525
729635,927.58
729636,927.86
729637,930.87
729638,929.05
729641,931.2
729642,933.62
729643,919.03
729644,912.59
729645,923.91
729648,919.77
729649,945.64
729650,943
729651,947.29
729652,950.51
729655,955.43
729656,951.93
729657,944.48
729658,937.91
729659,945.22
729662,953.34
729663,947.28
729664,955.41
729665,960.46
729666,965.03
729669,972.69
729670,983.12
729671,973.84
729672,970.62
729673,966.98
729676,968.1
729677,970.28
729678,965.72
729679,955.25
729680,944.16
729683,955.61
729684,972.28
729685,968.49
729686,950.69
729687,941.64
729690,876.99
729691,921.85
729692,919.16
729693,903.68
729694,914.62
729697,938.99
729698,940.76
729699,942.76
729700,938.03
729701,927.51
729704,921.13
729705,923.78
729706,905.96
729707,916.66
729708,928.35
729711,946.2
729712,938.23
729713,944.59
729714,958.98
729715,963.09
729718,946.67
729719,950.82
729720,951.64
729721,953.52
729722,955.4
729725,974.77
729726,971.68
729727,976.77
729728,973.1
729729,983.79
729732,982.37
729733,975.78
729734,969.79
729735,954.94
729736,953.39
729739,963.39
729740,968.04
729741,965.54
729742,955.3
729743,946.78
729746,953.7
729747,939.13
729748,932.7
729749,934.58
729750,936.46
729753,953.35
729754,970.84
729755,970.43
729756,972.735
729757,975.04
729760,977.07
729761,966.58
729762,964
729763,956.05
729764,927.69
729767,939.21
729768,952.12
729769,957.94
729770,950.73
729771,961.51
729774,970.055
729775,978.6
729776,970.81
729777,963.04
729778,957.59
729781,956.95
729782,969.02
729783,977.46
729784,985.49
729785,980.28
729788,1001.27
729789,1006
729790,1006.9
729791,1003.54
729792,1012.46
729795,1010.74
729796,1019.01
729797,1020.01
729798,1024.14
729799,1020.09
729802,1021.425
729803,1022.76
729804,1032.08
729805,1028.28
729806,1034.21
729809,1038.14
729810,1030.56
729811,1042.9
729812,1048.67
729813,1049.34
729816,1047.7
729817,1052.02
729818,1047.33
729819,1035.05
729820,1055.69
729823,1052.31
729824,1064.25
729825,1068.47
729826,1069.92
729827,1068.61
729830,1079.27
729831,1080.45
729832,1085.52
729833,1089.74
729834,1099.16
729837,1095.55
729838,1105.65
729839,1101.93
729840,1100.8
729841,1095.44
729844,1093.6
729845,1101.75
729846,1108.15
729847,1120.01
729848,1122.7
729851,1121.38
729852,1109.55
729853,1101.65
729854,1110.67
729855,1110.18
729858,1109.69
729859,1115.75
729860,1119.32
729861,1108.17
729862,1122.72
729865,1123.65
729866,1126.67
729867,1130.54
729868,1119.58
729869,1107.9
729872,1086.54
729873,1085.11
729874,1094.62
729875,1111.75
729876,1121
729879,1122.07
729880,1115.5
729881,1104.92
729882,1095.14
729883,1108.14
729886,1106.64
729887,1115.79
729888,1118.86
729889,1117.37
729890,1108.73
729893,1105.82
729894,1109.52
729895,1119.06
729896,1114.64
729897,1110.47
729900,1102.245
729901,1094.02
729902,1092.23
729903,1097.6
729904,1090.82
729907,1090.98
729908,1093.22
729909,1082.73
729910,1094.83
729911,1113.86
729914,1115.72
729915,1118.41
729916,1112.28
729917,1094.58
729918,1098.84
729921,1077.01
729922,1087.59
729923,1107.11
729924,1106.37
729925,1100.65
729928,1103.21
729929,1119.49
729930,1132.88
729931,1129.28
729932,1133.2
729935,1138.49
729936,1133.84
729937,1148.56
729938,1146.42
729939,1151.875
729942,1157.33
729943,1154.66
729944,1166.38
729945,1158.56
729946,1164.33
729949,1165.19
729950,1177.58
729951,1174.81
729952,1183.99
729953,1186.75
729956,1184.1
729957,1165.07
729958,1164.08
729959,1139.75
729960,1140.8
729963,1147.27
729964,1130.24
729965,1125.21
729966,1142.95
729967,1120.67
729970,1112.44
729971,1072.12
729972,1081.43
729973,1089.63
729974,1089.45
729977,1083.14
729978,1068.98
729979,1084.22
729980,1074.91
729981,1062.75
729984,1083.67
729985,1101.2
729986,1098.06
729987,1091.6
729988,1081.24
729991,1088.14
729992,1092.85
729993,1084.19
729994,1042.59
729995,1027.14
729998,957.28
729999,994.26
730000,990.48
730001,982.26
730002,973.89
730005,998.675
730006,1023.46
730007,1006.2
730008,980.19
730009,1009.06
730012,1029.72
730013,1037.68
730014,1045.48
730015,1018.87
730016,1020.09
730019,1023.89
730020,1029.63
730021,1066.09
730022,1042.72
730023,1044.75
730026,1048.69
730027,1049.02
730028,1017.01
730029,986.39
